progname,probsize,OMP_NUM_THREADS,OMP_PROC_BIND,OMP_PLACES,OMP_SCHEDULE,xtime,stddev
bfs_rodinia,lrgprob,10,close,threads,"dynamic,128",0.048319,0.0011683270090175936
bfs_rodinia,lrgprob,10,close,threads,"dynamic,256",0.04402866666666667,0.002303418618778039
bfs_rodinia,lrgprob,10,close,threads,"dynamic,32",0.07262600000000001,0.0005587423377550681
bfs_rodinia,lrgprob,10,close,threads,"dynamic,512",0.04291366666666666,0.0011465009085619327
bfs_rodinia,lrgprob,10,close,threads,"dynamic,64",0.129161,0.12687866967697917
bfs_rodinia,lrgprob,10,close,threads,"dynamic,8",0.159427,0.00247158026371793
bfs_rodinia,lrgprob,10,close,threads,"guided,1",0.041418666666666666,0.0024828746108761404
bfs_rodinia,lrgprob,10,close,threads,"guided,128",0.041210666666666666,0.0014756254041366082
bfs_rodinia,lrgprob,10,close,threads,"guided,256",0.042174333333333335,0.0017912091819029209
bfs_rodinia,lrgprob,10,close,threads,"guided,32",0.04293033333333333,0.004258793999870541
bfs_rodinia,lrgprob,10,close,threads,"guided,512",0.04473733333333333,0.0020042607947403797
bfs_rodinia,lrgprob,10,close,threads,"guided,64",0.041335333333333335,0.001942586506010309
bfs_rodinia,lrgprob,10,close,threads,"guided,8",0.043014666666666666,0.004018100836630824
bfs_rodinia,lrgprob,10,close,threads,static,0.045979,0.0017251460807711314
bfs_rodinia,lrgprob,10,close,threads,"static,1",0.453359,0.004760288961817341
bfs_rodinia,lrgprob,10,close,threads,"static,128",0.12398133333333333,0.12515720630604268
bfs_rodinia,lrgprob,10,close,threads,"static,256",0.047674666666666664,0.0029601280940752097
bfs_rodinia,lrgprob,10,close,threads,"static,32",0.056494666666666665,0.0025552976995515293
bfs_rodinia,lrgprob,10,close,threads,"static,512",0.04342766666666666,0.0011167633291496169
bfs_rodinia,lrgprob,10,close,threads,"static,64",0.050662000000000006,0.0017961428116939969
bfs_rodinia,lrgprob,10,close,threads,"static,8",0.09572133333333332,0.002704430685621898
bfs_rodinia,lrgprob,10,spread,cores,"dynamic,1",2.4506913333333333,0.01560384674794454
bfs_rodinia,lrgprob,10,spread,cores,"dynamic,128",0.060951,0.000844553728308628
bfs_rodinia,lrgprob,10,spread,cores,"dynamic,256",0.04969266666666666,0.0017784378913342242
bfs_rodinia,lrgprob,10,spread,cores,"dynamic,32",0.15359233333333333,0.002756813619621999
bfs_rodinia,lrgprob,10,spread,cores,"dynamic,512",0.04036933333333333,0.0022310720143763492
bfs_rodinia,lrgprob,10,spread,cores,"dynamic,64",0.09128266666666666,0.0013994978861482162
bfs_rodinia,lrgprob,10,spread,cores,"dynamic,8",0.5224303333333333,0.13287982211130975
bfs_rodinia,lrgprob,10,spread,cores,"guided,1",0.03377666666666667,0.001755973329334283
bfs_rodinia,lrgprob,10,spread,cores,"guided,128",0.032878333333333336,0.003173746419191889
bfs_rodinia,lrgprob,10,spread,cores,"guided,256",0.03338433333333333,0.0011471679621281865
bfs_rodinia,lrgprob,10,spread,cores,"guided,32",0.033104,0.0024650219065963657
bfs_rodinia,lrgprob,10,spread,cores,"guided,512",0.034199,0.0015607943490415367
bfs_rodinia,lrgprob,10,spread,cores,"guided,64",0.033013999999999995,0.002529169626577073
bfs_rodinia,lrgprob,10,spread,cores,"guided,8",0.032447666666666666,0.0010409252294633505
bfs_rodinia,lrgprob,10,spread,cores,static,0.03293,0.0027781173481334445
bfs_rodinia,lrgprob,10,spread,cores,"static,1",0.3081603333333333,0.003795560740303524
bfs_rodinia,lrgprob,10,spread,cores,"static,128",0.12429466666666668,0.12450585092409648
bfs_rodinia,lrgprob,10,spread,cores,"static,256",0.040983,0.0011843255464609387
bfs_rodinia,lrgprob,10,spread,cores,"static,32",0.07813933333333334,0.0029096806239402528
bfs_rodinia,lrgprob,10,spread,cores,"static,512",0.038040333333333336,0.0016462716462763173
bfs_rodinia,lrgprob,10,spread,cores,"static,64",0.06464433333333333,0.005136626746546154
bfs_rodinia,lrgprob,10,spread,cores,"static,8",0.14972233333333332,0.000756402890881129
bfs_rodinia,lrgprob,10,spread,sockets,"dynamic,1",2.4344680000000003,0.09913997524712222
bfs_rodinia,lrgprob,10,spread,sockets,"dynamic,128",0.06991566666666667,0.003843616049156494
bfs_rodinia,lrgprob,10,spread,sockets,"dynamic,256",0.05689433333333333,0.0036362598000326315
bfs_rodinia,lrgprob,10,spread,sockets,"dynamic,32",0.13493166666666667,0.010921988570463406
bfs_rodinia,lrgprob,10,spread,sockets,"dynamic,512",0.12818,0.13017342344349708
bfs_rodinia,lrgprob,10,spread,sockets,"dynamic,64",0.09119366666666667,0.006153269401979192
bfs_rodinia,lrgprob,10,spread,sockets,"dynamic,8",0.3877716666666666,0.06210352112669083
bfs_rodinia,lrgprob,10,spread,sockets,"guided,1",0.04619033333333333,0.002370059141315535
bfs_rodinia,lrgprob,10,spread,sockets,"guided,128",0.051588333333333326,0.005773580633656491
bfs_rodinia,lrgprob,10,spread,sockets,"guided,256",0.05264833333333333,0.002874661081472619
bfs_rodinia,lrgprob,10,spread,sockets,"guided,32",0.049327,0.008315429814507487
bfs_rodinia,lrgprob,10,spread,sockets,"guided,512",0.051061999999999996,0.004662772458527222
bfs_rodinia,lrgprob,10,spread,sockets,"guided,64",0.050556333333333335,0.0026462351243480525
bfs_rodinia,lrgprob,10,spread,sockets,"guided,8",0.05217366666666667,0.003474750254814488
bfs_rodinia,lrgprob,10,spread,sockets,static,0.127595,0.12413638893169075
bfs_rodinia,lrgprob,10,spread,sockets,"static,1",0.35735266666666665,0.04461646478973132
bfs_rodinia,lrgprob,10,spread,sockets,"static,128",0.07206966666666666,0.007975664381939184
bfs_rodinia,lrgprob,10,spread,sockets,"static,256",0.07083866666666667,0.013006032151787621
bfs_rodinia,lrgprob,10,spread,sockets,"static,32",0.09027566666666666,0.005756547084262691
bfs_rodinia,lrgprob,10,spread,sockets,"static,512",0.056953,0.0002566144968625116
bfs_rodinia,lrgprob,10,spread,sockets,"static,64",0.088613,0.01003521394889017
bfs_rodinia,lrgprob,10,spread,sockets,"static,8",0.157529,0.03542911396013171
bfs_rodinia,lrgprob,10,spread,threads,"dynamic,1",2.4593936666666667,0.008242748712251969
bfs_rodinia,lrgprob,10,spread,threads,"dynamic,128",0.06009366666666666,0.002010496539000583
bfs_rodinia,lrgprob,10,spread,threads,"dynamic,256",0.050027999999999996,0.002060972343336997
